date,Changes In Review,Repos Not Started
1512010801,15,8
1512014402,15,8
1512018001,15,8
1512021602,15,8
1512025202,15,8
1512028802,15,8
1512032408,15,8
1512036002,15,8
1512039602,15,8
1512043202,15,8
1512046802,15,8
1512050401,15,8
1512054001,15,8
1512057602,15,5
1512061202,15,5
1512064801,15,5
1512068402,14,6
1512072001,14,6
1512075601,15,6
1512079201,15,6
1512082801,15,6
1512086401,15,6
1512090001,16,5
1512093602,16,5
1512097201,16,5
1512100801,16,5
1512104311,16,0
1512104401,16,0
1512108002,16,0
1512111602,16,0
1512115202,16,0
1512118802,16,0
1512122401,16,0
1512126002,16,0
1512129602,16,0
1512133201,16,0
1512136801,16,0
1512140401,15,0
1512144002,15,0
1512147601,15,0
1512151202,15,0
1512154801,15,0
1512158402,14,1
1512162001,14,1
1512165601,15,0
1512165602,15,0
1512169202,15,0
1512172801,15,0
1512176401,15,0
1512180002,15,0
1512183601,15,0
1512187201,15,0
1512190802,15,0
1512194402,15,0
1512198002,15,0
1512201602,15,0
1512205201,15,0
1512208802,15,0
1512212402,15,0
1512216002,15,0
1512219602,15,0
1512223202,15,0
1512226802,15,0
1512230402,15,0
1512234001,15,0
1512237602,15,0
1512241201,15,0
1512244801,15,0
1512248401,15,0
1512252002,15,0
1512255601,15,0
1512259201,15,0
1512262801,15,0
1512266402,15,0
1512270002,15,0
1512273602,15,0
1512277202,15,0
1512280802,15,0
1512284401,15,0
1512288002,15,0
1512291602,15,0
1512295202,15,0
1512298801,15,0
1512302401,15,0
1512306002,15,0
1512309601,15,0
1512313202,15,0
1512316801,15,0
1512320402,15,0
1512324002,15,0
1512327601,15,0
1512331201,15,0
1512334801,15,0
1512338402,15,0
1512342002,15,0
1512345601,15,0
1512349201,15,0
1512352802,15,0
1512356401,15,0
1512360001,15,0
1512363602,15,0
1512367201,15,0
1512370802,15,0
1512374401,15,0
1512378001,15,0
1512381601,15,0
1512385201,15,0
1512388801,15,0
1512392401,15,0
1512396002,15,0
1512399601,15,0
1512403202,15,0
1512406801,15,0
1512410401,15,0
1512414001,15,0
1512417602,15,0
1512421201,15,0
1512424801,15,0
1512428401,15,0
1512432002,15,0
1512435601,15,0
1512439202,15,0
1512442801,15,0
1512446402,15,0
1512450002,15,0
1512453602,15,0
1512457202,15,0
1512460802,15,0
1512464402,15,0
1512468001,15,0
1512471602,15,0
1512475201,15,0
1512478801,15,0
1512482401,15,0
1512486002,15,0
1512489601,15,0
1512493201,15,0
1512496802,15,0
1512500402,15,0
1512504001,14,1
1512507602,14,1
1512511202,14,1
1512514801,15,0
1512518401,15,0
1512522002,15,0
1512525601,15,0
1512529201,15,0
1512532802,15,0
1512536401,15,0
1512540002,15,0
1512543602,15,0
1512547202,15,0
1512550802,15,0
1512554402,15,0
1512558002,15,0
1512561601,15,0
1512565201,15,0
1512568802,15,0
1512572402,15,0
1512576002,15,0
1512579601,15,0
1512583201,15,0
1512586801,15,0
1512590401,15,0
1512594001,14,0
1512597601,14,0
1512601202,14,0
1512604801,14,0
1512608402,14,0
1512612001,14,0
1512615601,14,0
1512619202,14,0
1512622801,14,0
1512626401,14,0
1512630002,14,0
1512633602,14,0
1512637201,14,0
1512640801,14,0
1512644401,14,0
1512648002,14,0
1512651601,14,0
1512655201,14,0
1512658801,14,0
1512662401,14,0
1512666001,14,0
1512669602,14,0
1512673202,14,0
1512676801,14,0
1512680401,14,0
1512684002,14,0
1512687601,14,0
1512691202,14,0
1512694802,14,0
1512698402,14,0
1512702002,14,0
1512705602,14,0
1512709202,14,0
1512712802,14,0
1512716402,14,0
1512720002,14,0
1512723601,14,0
1512727201,14,0
1512730802,14,0
1512734401,14,0
1512738002,14,0
1512741602,14,0
1512745201,14,0
1512748802,14,0
1512752401,14,0
1512756001,14,0
1512759601,14,0
1512763202,14,0
1512766802,14,0
1512770402,14,0
1512774001,14,0
1512777602,14,0
1512781202,14,0
1512784801,14,0
1512788402,14,0
1512792001,14,0
1512795602,14,0
1512799202,14,0
1512802801,14,0
1512806402,14,0
1512810001,14,0
1512813601,14,0
1512817201,14,0
1512820801,14,0
1512824402,14,0
1512828002,14,0
1512831601,14,0
1512835201,14,0
1512838801,14,0
1512842402,14,0
1512846001,14,0
1512849601,14,0
1512853201,14,0
1512856802,14,0
1512860401,14,0
1512864001,14,0
1512867602,14,0
1512871202,14,0
1512874802,14,0
1512878401,14,0
1512882001,14,0
1512885602,14,0
1512889202,14,0
1512892802,14,0
1512896402,14,0
1512900002,14,0
1512903602,14,0
1512907202,14,0
1512910801,14,0
1512914401,14,0
1512918001,14,0
1512921601,14,0
1512925201,14,0
1512928802,14,0
1512932402,14,0
1512936001,14,0
1512939602,14,0
1512943202,14,0
1512946802,14,0
1512950402,14,0
1512954002,14,0
1512957601,14,0
1512961201,14,0
1512964802,14,0
1512968402,14,0
1512972002,14,0
1512975601,14,0
1512979202,14,0
1512982801,14,0
1512986401,14,0
1512990001,14,0
1512993602,14,0
1512997202,14,0
1513000802,14,0
1513004401,14,0
1513008002,14,0
1513011601,14,0
1513015201,14,0
1513018802,14,0
1513022402,14,0
1513026001,14,0
1513029602,14,0
1513033206,14,0
1513036802,14,0
1513040402,14,0
1513044002,16,0
1513047602,16,0
1513051201,15,0
1513054802,15,0
1513058402,15,0
1513062001,15,0
1513065602,15,0
1513069202,15,0
1513072801,15,0
1513076401,15,0
1513080002,15,0
1513083602,15,0
1513087202,15,0
1513090801,15,0
1513094402,15,0
1513098001,15,0
1513101601,15,0
1513105201,15,0
1513108801,15,0
1513112401,15,0
1513116001,15,0
1513119602,15,0
1513123202,15,0
1513126802,15,0
1513130401,15,0
1513177202,14,0
1513180802,14,0
1513184401,14,0
1513188001,14,0
1513191602,14,0
1513195201,14,0
1513198802,14,0
1513202402,14,0
1513206001,14,0
